### Patch size (bytes) per pair and method

| pair | NEW size | bsdiff | hdiffz-m6 | hdiffz-m6-p8 | hdiffz-s64 | zstd-19 | zstd-19-T0 | xdelta3-9-lzma | full-zstd-19 | full-zstd-19-T0 |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| prometheus-3.13.1-3.13.2 (136) | 28.11 / 160 s / 1167 | 27.88 / 35 s / 435 | 27.88 / 18 s / 442 | 36.54 / 21 s / 217 | 33.44 / 33 s / 670 | 37.57 / 18 s / 1342 | 49.60 / 11 s / 585 |
| prometheus-3.13.2-3.14.0 (142) | 36.07 / 193 s / 1168 | 34.68 / 39 s / 479 | 34.67 / 17 s / 491 | 42.11 / 22 s / 218 | 39.29 / 31 s / 682 | 42.73 / 17 s / 1339 | 50.82 / 11 s / 592 |
| cockroach-26.2.4-26.2.5-stripped (230) | 8.59 / 150 s / 1977 | 9.46 / 43 s / 901 | 9.46 / 26 s / 909 | 29.45 / 37 s / 221 | 23.78 / 40 s / 927 | 29.44 / 40 s / 1407 | 58.38 / 18 s / 845 |
| cockroach-26.2.4-26.2.5 (326) | 67.62 / 447 s / 2799 | 67.79 / 103 s / 1007 | 67.83 / 30 s / 1018 | 88.41 / 53 s / 221 | 82.71 / 47 s / 1375 | 86.46 / 48 s / 2547 | 119.70 / 18 s / 1237 |
| vault-2.0.3-2.0.4-stripped (394) | 12.11 / 267 s / 3376 | 11.75 / 70 s / 1529 | 11.79 / 36 s / 1538 | 40.45 / 71 s / 225 | 36.51 / 36 s / 1548 | 44.82 / 55 s / 2587 | 67.68 / 18 s / 1414 |
| vault-2.0.3-2.0.4 (538) | timeout 840 s | 91.13 / 161 s / 1696 | 91.15 / 46 s / 1709 | 119.77 / 83 s / 224 | 115.83 / 38 s / 2398 | 126.75 / 58 s / 4797 | 149.33 / 23 s / 1595 |

### 1 GB extrapolation from the largest measured input per tool (linear in size for time and RSS, plus the log-log fit for time)

| tool | largest input | enc s | enc RSS MB | apply s | apply RSS MB | 1 GB enc s (linear / fit) | 1 GB enc RSS GB (linear) | 1 GB apply RSS GB |
|---|---|---:|---:|---:|---:|---:|---:|---:|
